epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2297.16,0.98614,0.94479,1.20835,0.62694,0.76881,0.60893,0.44977,0.96358,2.8236,1.24143,0.00556742,0.00556742,0.00556742
72,2330.05,1.10934,1.07518,1.29348,0.85577,0.7081,0.81461,0.59997,0.98872,0.96657,1.2581,0.00546421,0.00546421,0.00546421
73,2362.93,1.00022,0.98288,1.24307,0.90265,0.77108,0.87165,0.68438,0.85105,0.73695,1.13906,0.00536081,0.00536081,0.00536081
74,2395.56,1.04864,0.97517,1.24422,0.86645,0.72509,0.84061,0.61091,0.95742,0.88697,1.17652,0.00525728,0.00525728,0.00525728
75,2428.49,1.09252,1.06259,1.29759,0.84009,0.69971,0.76273,0.55128,1.04557,1.21372,1.30329,0.00515366,0.00515366,0.00515366
76,2461.07,1.01302,0.99727,1.22987,0.901,0.79429,0.85583,0.67991,0.8294,0.78406,1.11298,0.00505,0.00505,0.00505
77,2493.13,1.01404,0.95766,1.2488,0.85864,0.74815,0.83809,0.64468,0.87081,0.8079,1.16626,0.00494634,0.00494634,0.00494634
78,2526.24,1.06521,1.0348,1.27085,0.88089,0.77652,0.82144,0.6,0.97666,0.93903,1.25419,0.00484272,0.00484272,0.00484272
79,2558.46,0.98622,0.97098,1.22417,0.83318,0.75656,0.79902,0.60503,0.95015,0.9342,1.22369,0.00473919,0.00473919,0.00473919
80,2590.31,0.94216,0.9225,1.19773,0.94438,0.7927,0.86747,0.68694,0.82004,0.76556,1.11963,0.00463579,0.00463579,0.00463579
81,2623.26,1.00083,0.96331,1.21924,0.96041,0.75464,0.87173,0.67328,0.84762,0.7977,1.14251,0.00453258,0.00453258,0.00453258
82,2654.63,0.96159,0.90892,1.21831,0.91887,0.78928,0.86602,0.66136,0.84756,0.80943,1.15033,0.0044296,0.0044296,0.0044296
83,2686.54,0.94586,0.89589,1.21481,0.93998,0.79178,0.86139,0.66093,0.85081,0.77733,1.14964,0.00432689,0.00432689,0.00432689
84,2719.82,0.97217,0.93145,1.22852,0.83797,0.72556,0.79858,0.60081,0.96408,1.0339,1.27338,0.00422449,0.00422449,0.00422449
85,2752.12,0.97385,0.89185,1.20928,0.95287,0.7703,0.84328,0.67089,0.82267,0.82631,1.1482,0.00412246,0.00412246,0.00412246
86,2784.64,1.00053,0.95388,1.21831,0.88138,0.77246,0.84412,0.67399,0.7898,0.81335,1.11558,0.00402084,0.00402084,0.00402084
87,2816.99,0.89462,0.84484,1.161,0.96768,0.81851,0.90053,0.72307,0.78145,0.63218,1.09149,0.00391966,0.00391966,0.00391966
88,2849.33,0.94474,0.85355,1.18708,0.95545,0.77903,0.87541,0.68574,0.82887,0.72199,1.11691,0.00381899,0.00381899,0.00381899
89,2882.01,0.94732,0.89325,1.19943,0.93087,0.7824,0.87663,0.69894,0.79478,0.70363,1.1105,0.00371885,0.00371885,0.00371885
90,2914.74,0.89331,0.81011,1.17074,0.92834,0.77838,0.85794,0.67966,0.82196,0.74743,1.13795,0.00361929,0.00361929,0.00361929
91,2947.02,0.93705,0.87653,1.18805,0.93587,0.78269,0.87815,0.70978,0.78215,0.69118,1.08828,0.00352037,0.00352037,0.00352037
92,2979.42,0.91492,0.86766,1.17764,0.92538,0.79209,0.88509,0.68129,0.80608,0.69894,1.13546,0.00342211,0.00342211,0.00342211
93,3011.51,0.92459,0.86435,1.20195,0.89267,0.78956,0.86311,0.68084,0.79226,0.73696,1.10639,0.00332457,0.00332457,0.00332457
94,3045.78,0.88857,0.84009,1.17274,0.90954,0.77157,0.84586,0.6783,0.7839,0.7872,1.12455,0.00322778,0.00322778,0.00322778
95,3079.26,0.91571,0.83706,1.19595,0.9261,0.7997,0.88452,0.71297,0.72048,0.66672,1.08347,0.0031318,0.0031318,0.0031318
